kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
21	16	500000	4	16	1638	178446336	10533
21	16	500000	4	16	1634	178446336	10449
21	16	500000	4	16	1645	178446336	10636
21	16	500000	4	16	1640	178446336	10449
21	16	500000	4	16	1637	178446336	10564
21	16	500000	4	16	1647	178446336	10577
21	16	500000	4	16	1640	178446336	10523
21	16	500000	4	16	1635	178446336	10585
21	16	500000	4	16	1634	178446336	10518
21	16	500000	4	16	1639	178446336	10670
21	16	500000	4	16	1650	178446336	11206
21	16	500000	4	16	1639	178446336	10516
21	16	500000	4	16	1645	178446336	10549
21	16	500000	4	16	1656	178446336	10520
21	16	500000	4	16	1632	178446336	10592
21	16	500000	4	16	1638	178446336	10503
21	16	500000	4	16	1642	178446336	10581
21	16	500000	4	16	1631	178446336	10584
21	16	500000	4	16	1633	178446336	10540
21	16	500000	4	16	1636	178446336	10552
21	16	500000	4	16	1630	178446336	10569
21	16	500000	4	16	1648	178446336	10652
21	16	500000	4	16	1633	178446336	10640
21	16	500000	4	16	1638	178446336	10574
21	16	500000	4	16	1634	178446336	10581
21	16	500000	4	16	1633	178446336	10590
21	16	500000	4	16	1630	178446336	10606
21	17	500000	4	16	997	186834944	9323
21	17	500000	4	16	993	186834944	9287
21	17	500000	4	16	996	186834944	9271
21	17	500000	4	16	995	186834944	9214
21	17	500000	4	16	996	186834944	9273
21	17	500000	4	16	1000	186834944	9257
21	17	500000	4	16	998	186834944	9346
21	17	500000	4	16	999	186834944	9244
21	17	500000	4	16	999	186834944	9943
21	17	500000	4	16	998	186834944	9460
21	17	500000	4	16	991	186834944	9334
21	17	500000	4	16	994	186834944	9259
21	17	500000	4	16	995	186834944	9298
21	17	500000	4	16	995	186834944	9219
21	17	500000	4	16	996	186834944	9146
21	17	500000	4	16	1000	186834944	9269
21	17	500000	4	16	991	186834944	9172
21	17	500000	4	16	1002	186834944	9328
21	17	500000	4	16	995	186834944	9235
21	17	500000	4	16	995	186834944	9503
21	17	500000	4	16	992	186834944	9669
21	17	500000	4	16	997	186834944	9274
21	17	500000	4	16	994	186834944	9209
21	17	500000	4	16	991	186834944	9254
21	17	500000	4	16	999	186834944	9279
21	17	500000	4	16	1001	186834944	9222
21	17	500000	4	16	1001	186834944	9265
21	17	500000	4	16	999	186834944	9134
21	17	500000	4	16	993	186834944	9306
21	17	500000	4	16	996	186834944	9217
21	18	500000	4	16	569	195223552	8241
21	18	500000	4	16	568	195223552	8330
21	18	500000	4	16	571	195223552	8261
21	18	500000	4	16	568	195223552	8241
21	18	500000	4	16	569	195223552	8248
21	18	500000	4	16	568	195223552	8236
21	18	500000	4	16	565	195223552	8227
21	18	500000	4	16	568	195223552	8175
21	18	500000	4	16	570	195223552	8221
21	18	500000	4	16	568	195223552	8192
21	18	500000	4	16	570	195223552	8200
21	18	500000	4	16	567	195223552	8309
21	18	500000	4	16	569	195223552	8155
21	18	500000	4	16	569	195223552	8226
21	18	500000	4	16	570	195223552	8221
21	18	500000	4	16	571	195223552	8238
21	18	500000	4	16	567	195223552	8329
21	18	500000	4	16	567	195223552	8261
21	18	500000	4	16	567	195223552	8349
21	18	500000	4	16	567	195223552	8209
21	18	500000	4	16	567	195223552	8200
21	18	500000	4	16	564	195223552	8315
21	18	500000	4	16	565	195223552	8228
21	18	500000	4	16	570	195223552	8288
21	18	500000	4	16	569	195223552	8313
21	18	500000	4	16	566	195223552	8222
21	18	500000	4	16	567	195223552	8255
21	18	500000	4	16	568	195223552	8240
21	18	500000	4	16	568	195223552	8069
21	18	500000	4	16	564	195223552	8319
21	19	500000	4	16	317	203612160	6550
21	19	500000	4	16	318	203612160	6738
21	19	500000	4	16	318	203612160	7084
21	19	500000	4	16	318	203612160	6884
21	19	500000	4	16	317	203612160	6595
21	19	500000	4	16	317	203612160	6754
21	19	500000	4	16	318	203612160	6572
21	19	500000	4	16	317	203612160	6688
21	19	500000	4	16	318	203612160	6709
21	19	500000	4	16	317	203612160	6437
21	19	500000	4	16	318	203612160	6533
21	19	500000	4	16	317	203612160	6508
21	19	500000	4	16	317	203612160	6466
21	19	500000	4	16	318	203612160	6720
21	19	500000	4	16	317	203612160	6690
21	19	500000	4	16	317	203612160	6652
21	19	500000	4	16	317	203612160	6416
21	19	500000	4	16	316	203612160	6742
